[MF-BCE] Epoch 49/50, Train loss: 0.414809, Validate loss: 0.505248, NDCG@10: 0.068602, HitRate@10: 0.155589
[MF-BCE] Epoch 50/50, Train loss: 0.413775, Validate loss: 0.504326, NDCG@10: 0.067941, HitRate@10: 0.153988

[MF-BPR] Epoch 1/50, Train loss: 0.690570, Validate loss: 0.687481, NDCG@10: 0.113021, HitRate@10: 0.232923
[MF-BPR] Epoch 2/50, Train loss: 0.685351, Validate loss: 0.682262, NDCG@10: 0.112959, HitRate@10: 0.231491
[MF-BPR] Epoch 3/50, Train loss: 0.680193, Validate loss: 0.677314, NDCG@10: 0.112555, HitRate@10: 0.228217
[MF-BPR] Epoch 4/50, Train loss: 0.675539, Validate loss: 0.672439, NDCG@10: 0.115315, HitRate@10: 0.231055
[MF-BPR] Epoch 5/50, Train loss: 0.670889, Validate loss: 0.667817, NDCG@10: 0.116045, HitRate@10: 0.231831
[MF-BPR] Epoch 6/50, Train loss: 0.666639, Validate loss: 0.663330, NDCG@10: 0.115898, HitRate@10: 0.232171
[MF-BPR] Epoch 7/50, Train loss: 0.662220, Validate loss: 0.658975, NDCG@10: 0.115480, HitRate@10: 0.228702
[MF-BPR] Epoch 8/50, Train loss: 0.658048, Validate loss: 0.654929, NDCG@10: 0.115333, HitRate@10: 0.229526
[MF-BPR] Epoch 9/50, Train loss: 0.654098, Validate loss: 0.650962, NDCG@10: 0.116204, HitRate@10: 0.230812
[MF-BPR] Epoch 10/50, Train loss: 0.650180, Validate loss: 0.647054, NDCG@10: 0.115526, HitRate@10: 0.228629
[MF-BPR] Epoch 11/50, Train loss: 0.646538, Validate loss: 0.643394, NDCG@10: 0.114855, HitRate@10: 0.228799
[MF-BPR] Epoch 12/50, Train loss: 0.643010, Validate loss: 0.639807, NDCG@10: 0.113469, HitRate@10: 0.226179
[MF-BPR] Epoch 13/50, Train loss: 0.639590, Validate loss: 0.636323, NDCG@10: 0.113250, HitRate@10: 0.225039
[MF-BPR] Epoch 14/50, Train loss: 0.636490, Validate loss: 0.632918, NDCG@10: 0.112874, HitRate@10: 0.225597
[MF-BPR] Epoch 15/50, Train loss: 0.633176, Validate loss: 0.629883, NDCG@10: 0.111399, HitRate@10: 0.222516
[MF-BPR] Epoch 16/50, Train loss: 0.630030, Validate loss: 0.626962, NDCG@10: 0.111323, HitRate@10: 0.224263
[MF-BPR] Epoch 17/50, Train loss: 0.627541, Validate loss: 0.624113, NDCG@10: 0.110820, HitRate@10: 0.223244
[MF-BPR] Epoch 18/50, Train loss: 0.624629, Validate loss: 0.621183, NDCG@10: 0.110415, HitRate@10: 0.222128
[MF-BPR] Epoch 19/50, Train loss: 0.621884, Validate loss: 0.618614, NDCG@10: 0.109094, HitRate@10: 0.222710
[MF-BPR] Epoch 20/50, Train loss: 0.618872, Validate loss: 0.616011, NDCG@10: 0.108413, HitRate@10: 0.219581
[MF-BPR] Epoch 21/50, Train loss: 0.616460, Validate loss: 0.613475, NDCG@10: 0.108190, HitRate@10: 0.221327
[MF-BPR] Epoch 22/50, Train loss: 0.614445, Validate loss: 0.611100, NDCG@10: 0.107574, HitRate@10: 0.219096
[MF-BPR] Epoch 23/50, Train loss: 0.611963, Validate loss: 0.608791, NDCG@10: 0.107391, HitRate@10: 0.220114
[MF-BPR] Epoch 24/50, Train loss: 0.609531, Validate loss: 0.606679, NDCG@10: 0.106676, HitRate@10: 0.218853
[MF-BPR] Epoch 25/50, Train loss: 0.607590, Validate loss: 0.604781, NDCG@10: 0.106119, HitRate@10: 0.218271
[MF-BPR] Epoch 26/50, Train loss: 0.606122, Validate loss: 0.602544, NDCG@10: 0.104890, HitRate@10: 0.216864
[MF-BPR] Epoch 27/50, Train loss: 0.603468, Validate loss: 0.600757, NDCG@10: 0.105354, HitRate@10: 0.216476
[MF-BPR] Epoch 28/50, Train loss: 0.601257, Validate loss: 0.598753, NDCG@10: 0.104039, HitRate@10: 0.214802
[MF-BPR] Epoch 29/50, Train loss: 0.599085, Validate loss: 0.597266, NDCG@10: 0.104123, HitRate@10: 0.214632
[MF-BPR] Epoch 30/50, Train loss: 0.597248, Validate loss: 0.595328, NDCG@10: 0.104113, HitRate@10: 0.214972
[MF-BPR] Epoch 31/50, Train loss: 0.595707, Validate loss: 0.593794, NDCG@10: 0.103754, HitRate@10: 0.214341
[MF-BPR] Epoch 32/50, Train loss: 0.594778, Validate loss: 0.591934, NDCG@10: 0.103896, HitRate@10: 0.213977
[MF-BPR] Epoch 33/50, Train loss: 0.592302, Validate loss: 0.590624, NDCG@10: 0.102848, HitRate@10: 0.212134
[MF-BPR] Epoch 34/50, Train loss: 0.590483, Validate loss: 0.589056, NDCG@10: 0.102643, HitRate@10: 0.212304
[MF-BPR] Epoch 35/50, Train loss: 0.589359, Validate loss: 0.587776, NDCG@10: 0.102919, HitRate@10: 0.212279
[MF-BPR] Epoch 36/50, Train loss: 0.587387, Validate loss: 0.586237, NDCG@10: 0.101412, HitRate@10: 0.209999
[MF-BPR] Epoch 37/50, Train loss: 0.586059, Validate loss: 0.584968, NDCG@10: 0.101592, HitRate@10: 0.208786
[MF-BPR] Epoch 38/50, Train loss: 0.584753, Validate loss: 0.583269, NDCG@10: 0.100635, HitRate@10: 0.208204
[MF-BPR] Epoch 39/50, Train loss: 0.583338, Validate loss: 0.582352, NDCG@10: 0.100706, HitRate@10: 0.208374
[MF-BPR] Epoch 40/50, Train loss: 0.581646, Validate loss: 0.581353, NDCG@10: 0.099885, HitRate@10: 0.206943
[MF-BPR] Epoch 41/50, Train loss: 0.581437, Validate loss: 0.580289, NDCG@10: 0.099329, HitRate@10: 0.207379
[MF-BPR] Epoch 42/50, Train loss: 0.579234, Validate loss: 0.579039, NDCG@10: 0.099070, HitRate@10: 0.207500
[MF-BPR] Epoch 43/50, Train loss: 0.578247, Validate loss: 0.578245, NDCG@10: 0.097948, HitRate@10: 0.204468
[MF-BPR] Epoch 44/50, Train loss: 0.577153, Validate loss: 0.576883, NDCG@10: 0.098090, HitRate@10: 0.203983
[MF-BPR] Epoch 45/50, Train loss: 0.576320, Validate loss: 0.575880, NDCG@10: 0.097540, HitRate@10: 0.204201
[MF-BPR] Epoch 46/50, Train loss: 0.576062, Validate loss: 0.575043, NDCG@10: 0.096621, HitRate@10: 0.201193
[MF-BPR] Epoch 47/50, Train loss: 0.573781, Validate loss: 0.574026, NDCG@10: 0.096871, HitRate@10: 0.201315
[MF-BPR] Epoch 48/50, Train loss: 0.572820, Validate loss: 0.573157, NDCG@10: 0.096526, HitRate@10: 0.201533
[MF-BPR] Epoch 49/50, Train loss: 0.572033, Validate loss: 0.572552, NDCG@10: 0.096671, HitRate@10: 0.202576
[MF-BPR] Epoch 50/50, Train loss: 0.571699, Validate loss: 0.571532, NDCG@10: 0.095945, HitRate@10: 0.201242

[MF-PointSVM] Epoch 1/50, Train loss: 0.582570, Validate loss: 0.696426, NDCG@10: 0.048500, HitRate@10: 0.106006
[MF-PointSVM] Epoch 2/50, Train loss: 0.578565, Validate loss: 0.693397, NDCG@10: 0.049583, HitRate@10: 0.108214
[MF-PointSVM] Epoch 3/50, Train loss: 0.574594, Validate loss: 0.690366, NDCG@10: 0.050853, HitRate@10: 0.110906
[MF-PointSVM] Epoch 4/50, Train loss: 0.570642, Validate loss: 0.687334, NDCG@10: 0.053590, HitRate@10: 0.115248
[MF-PointSVM] Epoch 5/50, Train loss: 0.566696, Validate loss: 0.684300, NDCG@10: 0.056769, HitRate@10: 0.121386
[MF-PointSVM] Epoch 6/50, Train loss: 0.562747, Validate loss: 0.681265, NDCG@10: 0.058533, HitRate@10: 0.123035
[MF-PointSVM] Epoch 7/50, Train loss: 0.558793, Validate loss: 0.678229, NDCG@10: 0.059716, HitRate@10: 0.124151
[MF-PointSVM] Epoch 8/50, Train loss: 0.554833, Validate loss: 0.675192, NDCG@10: 0.062017, HitRate@10: 0.129633
[MF-PointSVM] Epoch 9/50, Train loss: 0.550866, Validate loss: 0.672152, NDCG@10: 0.067396, HitRate@10: 0.138803
[MF-PointSVM] Epoch 10/50, Train loss: 0.546892, Validate loss: 0.669110, NDCG@10: 0.073333, HitRate@10: 0.148651
[MF-PointSVM] Epoch 11/50, Train loss: 0.542908, Validate loss: 0.666062, NDCG@10: 0.082289, HitRate@10: 0.165195
[MF-PointSVM] Epoch 12/50, Train loss: 0.538913, Validate loss: 0.663008, NDCG@10: 0.092354, HitRate@10: 0.186178
[MF-PointSVM] Epoch 13/50, Train loss: 0.534902, Validate loss: 0.659944, NDCG@10: 0.103792, HitRate@10: 0.207743
[MF-PointSVM] Epoch 14/50, Train loss: 0.530869, Validate loss: 0.656867, NDCG@10: 0.115308, HitRate@10: 0.232049
[MF-PointSVM] Epoch 15/50, Train loss: 0.526806, Validate loss: 0.653771, NDCG@10: 0.124282, HitRate@10: 0.250946
[MF-PointSVM] Epoch 16/50, Train loss: 0.522702, Validate loss: 0.650650, NDCG@10: 0.127810, HitRate@10: 0.259024
[MF-PointSVM] Epoch 17/50, Train loss: 0.518542, Validate loss: 0.647495, NDCG@10: 0.130636, HitRate@10: 0.265865
[MF-PointSVM] Epoch 18/50, Train loss: 0.514305, Validate loss: 0.644295, NDCG@10: 0.131494, HitRate@10: 0.268363
[MF-PointSVM] Epoch 19/50, Train loss: 0.509969, Validate loss: 0.641036, NDCG@10: 0.132263, HitRate@10: 0.267829
[MF-PointSVM] Epoch 20/50, Train loss: 0.505503, Validate loss: 0.637702, NDCG@10: 0.132426, HitRate@10: 0.269236
[MF-PointSVM] Epoch 21/50, Train loss: 0.500874, Validate loss: 0.634273, NDCG@10: 0.132922, HitRate@10: 0.270498
[MF-PointSVM] Epoch 22/50, Train loss: 0.496040, Validate loss: 0.630727, NDCG@10: 0.133892, HitRate@10: 0.271298
[MF-PointSVM] Epoch 23/50, Train loss: 0.490957, Validate loss: 0.627039, NDCG@10: 0.133664, HitRate@10: 0.270716
[MF-PointSVM] Epoch 24/50, Train loss: 0.485572, Validate loss: 0.623183, NDCG@10: 0.132929, HitRate@10: 0.270449
[MF-PointSVM] Epoch 25/50, Train loss: 0.479833, Validate loss: 0.619130, NDCG@10: 0.133906, HitRate@10: 0.271056
[MF-PointSVM] Epoch 26/50, Train loss: 0.473682, Validate loss: 0.614849, NDCG@10: 0.133887, HitRate@10: 0.272608
[MF-PointSVM] Epoch 27/50, Train loss: 0.467059, Validate loss: 0.610311, NDCG@10: 0.134097, HitRate@10: 0.271517
